
Initial statistics: 100 variables; iteration 0; function evaluation 0; phase 1
Function value 2.8962372e+04; maximum gradient component mag -7.3722e+05
 97 -0.01589  1.91974e+02 | 98  0.05936  2.17416e+02 | 99  0.14545 -2.02735e+02
100  0.05935 -1.39468e+01 |
100 variables; iteration 60; function evaluation 70; phase 1
Function value 1.1404523e+04; maximum gradient component mag -3.9337e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.24454  3.52782e+03 |  2  0.13545  3.37592e+02 |  3  0.12344  1.97081e+02
  4 -0.23818 -2.01809e+02 |  5  0.13403  4.95096e+02 |  6  0.08520 -1.12732e+01
  7  0.15403  1.30388e+03 |  8  0.16850  2.66575e+03 |  9  0.12124  8.16407e+02
 10  0.08232  2.75341e+02 | 11  0.10601  1.17838e+03 | 12 -0.15869 -6.15415e+00
 13 -0.20610 -7.39705e-01 | 14 -0.20972 -2.46126e-01 | 15 -0.22290  1.25838e+00
 16 -0.61530  1.07222e-03 | 17 -0.61530  1.07213e-03 | 18 -0.24320  9.55976e-01
 19  0.31494 -8.02607e+00 | 20  0.22845 -1.05330e+02 | 21  0.17747  1.26390e+02
 22  0.07651  5.31259e+01 | 23  0.01336  2.06392e+01 | 24  0.00754  1.90298e+01
 25  0.01475  1.74658e+01 | 26  0.02758  2.21932e+01 | 27  0.05351  7.11556e+01
 28  0.07358  7.91273e+01 | 29  0.06609  2.43320e+02 | 30  0.11392  3.72413e+03
 31 -0.00794  4.10528e+01 | 32 -0.26018 -1.48046e+02 | 33 -1.78239  8.21627e+01
 34 -0.71179 -1.82777e+01 | 35 -0.27903 -1.56414e+01 | 36 -0.21383 -1.79017e+00
 37 -0.06174 -3.93371e+04 | 38  0.01693  1.64353e+03 | 39  0.18433  1.87868e+03
 40  0.09795  5.14956e+02 | 41  0.13295 -2.12902e+03 | 42  0.11907 -2.75700e+02
 43  0.15197  2.95859e+02 | 44  0.06466  2.17941e+02 | 45  0.13253  2.30578e+02
 46  0.11089  1.20472e+03 | 47  0.16362 -3.47067e+02 | 48  0.17935 -2.11770e+03
 49  0.10749  1.38422e+03 | 50  0.18378  5.07142e+03 | 51  0.16261  2.84605e+03
 52 -0.74694  6.78523e+02 | 53  0.03908  3.79132e+02 | 54  0.15104  2.77455e+03
 55  0.01274  1.75763e+03 | 56  0.15063  2.08797e+03 | 57  0.11531  1.04524e+03
 58  0.13425  2.24962e+03 | 59  0.18543 -1.32680e+03 | 60  0.08122  4.10054e+01
 61  0.13033  3.04148e+02 | 62 -0.88431  3.16784e+02 | 63 -1.08379 -2.29933e+02
 64 -0.71975  7.17223e+02 | 65  0.12141  1.64668e+03 | 66 -0.31719  1.53974e+03
 67 -0.01315 -2.38117e+03 | 68  0.03711  5.71287e+01 | 69 -0.88292 -4.86222e+02
 70 -1.11376  3.42732e+02 | 71  0.15978 -1.17413e+03 | 72 -0.05384  2.12702e+02
 73 -0.24398  1.56833e+03 | 74 -0.23222 -1.87698e+03 | 75  1.75452 -2.91894e+01
 76 -0.03358  8.85383e+01 | 77 -0.02634  3.50526e+01 | 78 -0.05137 -1.89949e+02
 79  0.13768  2.97260e+01 | 80  0.11610  1.91540e+01 | 81 -0.04306 -2.30356e+02
 82 -0.06723 -8.47340e+02 | 83 -0.02940 -6.59230e+01 | 84  0.08401  4.07998e+02
 85  0.00217 -1.22326e+02 | 86 -0.07043 -1.74299e+03 | 87  0.02034  4.37337e+02
 88 -0.09069  1.37016e+02 | 89 -0.11564  4.16369e+02 | 90 -0.11097 -7.51528e+02
 91 -0.02821  8.66068e-01 | 92 -0.09056 -5.15831e+02 | 93  0.02395  3.89314e+02
 94 -0.04390 -1.77220e+02 | 95 -0.07210 -3.03350e+02 | 96 -0.04593  1.98864e+02
 97 -0.01162  1.70332e+01 | 98  0.08511  2.59952e+02 | 99  0.29780 -1.81394e+01
100  0.42112 -3.98461e+01 |
100 variables; iteration 80; function evaluation 96; phase 1
Function value 1.1328684e+04; maximum gradient component mag -2.1089e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.24450  2.56464e+03 |  2  0.11556  1.88683e+01 |  3  0.12200  9.01096e+01
  4 -0.15274 -2.10038e+02 |  5  0.12741  3.77122e+02 |  6  0.08029 -4.30994e+01
  7  0.15643  1.54828e+03 |  8  0.16970  3.21615e+03 |  9  0.12150  1.01421e+03
 10  0.08160  3.53891e+02 | 11  0.10917  1.61112e+03 | 12 -0.06159  7.58639e+01
 13 -0.44773 -2.76061e+00 | 14 -0.45568 -2.17361e+00 | 15 -0.32885 -3.16275e-01
 16 -0.61536  1.35805e-03 | 17 -0.61536  1.35796e-03 | 18 -0.31098  9.41571e-02
 19  0.33800  7.60401e+01 | 20  0.27134  9.39386e+01 | 21  0.15102  1.61229e+01
 22  0.03722 -2.42142e+01 | 23  0.00458  5.84975e-01 | 24 -0.01075 -3.04813e+01
 25  0.01160  5.67701e+00 | 26  0.01922 -1.58074e+01 | 27  0.06578  1.59336e+02
 28  0.06242 -8.01954e+00 | 29  0.06876  3.69688e+02 | 30  0.11159  4.45559e+03
 31 -0.01209  7.53497e+01 | 32  0.00874  3.00753e+02 | 33 -1.87659  6.50744e+01
 34 -1.49738  2.94163e+01 | 35 -0.05415  9.28031e+01 | 36 -0.47549 -3.20244e+00
 37 -0.05855 -2.10888e+04 | 38  0.01705  1.44842e+03 | 39  0.17867  1.34495e+03
 40  0.10067  3.66747e+02 | 41  0.12555 -2.08140e+03 | 42  0.11513 -4.96023e+02
 43  0.14620  3.36763e+01 | 44  0.06227 -1.20177e+02 | 45  0.12684 -8.22389e+01
 46  0.10738  1.26635e+03 | 47  0.15902  3.45770e+02 | 48  0.17313 -6.09448e+02
 49  0.11720  2.20473e+03 | 50  0.17889  6.89359e+03 | 51  0.15476  4.20291e+03
 52 -0.79365  5.20264e+02 | 53  0.05995  4.19143e+02 | 54  0.14599  4.01655e+03
 55  0.01483  1.72405e+03 | 56  0.14318  2.40595e+03 | 57  0.12286  1.98048e+03
 58  0.12583  2.42881e+03 | 59  0.17907 -1.38822e+03 | 60  0.08566 -2.96246e+02
 61  0.12235  1.21593e+02 | 62 -0.82756  4.37059e+02 | 63 -1.05244 -1.34344e+02
 64 -0.69662  7.13324e+02 | 65  0.15765  1.58283e+03 | 66 -0.27242  1.48630e+03
 67 -0.01252 -3.82899e+03 | 68 -0.02285 -1.17556e+01 | 69 -0.87880 -3.75384e+02
 70 -1.10504  2.12889e+02 | 71  0.16445 -6.62822e+02 | 72 -0.05861  2.79422e+02
 73 -0.24898  1.64464e+03 | 74 -0.23181 -1.61149e+03 | 75  1.70051 -5.04643e+01
 76 -0.03962 -8.51296e+01 | 77 -0.04045 -2.24797e+02 | 78 -0.05772 -1.56472e+02
 79  0.12030 -6.59827e+01 | 80  0.13114  8.75044e+01 | 81 -0.04897 -2.86809e+02
 82 -0.07609 -1.00196e+03 | 83 -0.04519 -3.53743e+02 | 84  0.08493  4.09478e+02
 85  0.00204 -1.47421e+02 | 86 -0.07104 -1.69135e+03 | 87  0.02178  5.39605e+02
 88 -0.09183  2.94162e+02 | 89 -0.11405  5.30573e+02 | 90 -0.11136 -8.29227e+02
 91 -0.03395  1.69336e+02 | 92 -0.10361 -6.59143e+02 | 93  0.01122  3.43429e+02
 94 -0.05472 -3.44186e+02 | 95 -0.08453 -1.94482e+02 | 96 -0.05375  2.29934e+02
