
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 2.2987237e+05; maximum gradient component mag 3.0513e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
106  0.38319 -1.55434e+03 |107 -1.04539  1.12512e+04 |108 -0.39479 -1.03532e+03
108 variables; iteration 80; function evaluation 104; phase 1
Function value 9.1565500e+03; maximum gradient component mag 3.6453e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.36962  1.72937e+02 |  2  0.27995 -2.49933e+02 |  3  0.31285 -1.48667e+02
  4  0.36099  5.32764e+02 |  5  0.31310  2.83667e+02 |  6  0.25716  9.88685e+01
  7 -0.00055 -1.13199e+02 |  8  0.28115  1.07905e+03 |  9  0.18186  1.53221e+02
 10  0.15626  1.43253e+02 | 11  0.13236  1.18441e+02 | 12  0.11444  1.07550e+02
 13  0.05868  1.98661e+01 | 14  0.09307  1.18146e+02 | 15  0.04691  4.58279e+01
 16 -0.05922  5.12833e-01 | 17 -0.13389 -8.92245e-01 | 18 -0.16254  6.27770e-01
 19 -0.08232  5.67246e+00 | 20  0.04235  9.85812e+01 | 21  0.08666  2.69467e+02
 22  0.38149  7.46454e+02 | 23  0.10042 -4.53916e+00 | 24  0.36945  1.38666e+03
 25 -0.24702 -5.51919e+01 | 26  0.09227 -9.29506e+01 | 27  0.22340 -4.30490e+01
 28  0.27494  2.30752e+02 | 29  0.28074  3.19843e+02 | 30  0.22968  3.91396e+01
 31  0.20657 -4.09826e+00 | 32  0.16938 -2.96126e+01 | 33  0.06522 -1.16909e+02
 34  0.12721  2.45241e+01 | 35  0.13532  1.79772e+02 | 36  0.16139  7.39236e+02
 37  0.10042  8.59654e+01 | 38  0.15811  1.08597e+03 | 39  0.13491  6.90831e+02
 40  0.12294  6.45075e+02 | 41  0.04410  6.14177e+01 | 42  0.00555  4.17828e+01
 43  0.06244  3.64526e+04 | 44  0.29506  1.56317e+04 | 45  0.13047  1.81210e+03
 46  0.19050  2.34311e+03 | 47  0.02118  8.85685e+02 | 48  0.15087  3.20815e+03
 49 -0.05011  8.58208e+02 | 50  0.05726  1.69277e+03 | 51  0.08406  2.00563e+03
 52 -0.14018  5.98642e+02 | 53  0.16321  1.38117e+03 | 54 -0.01334  3.04484e+02
 55  0.16869  7.72744e+02 | 56  0.12871  7.76873e+02 | 57  0.18689  1.55735e+03
 58  0.10453  9.08711e+01 | 59  0.11157  4.55347e+02 | 60  0.20171  3.98018e+02
 61 -0.36781  6.51158e+02 | 62  0.14637 -1.45286e+03 | 63  0.13639 -4.43754e+02
 64  0.16485 -6.39444e+02 | 65  0.19104  5.85211e+02 | 66  0.23854  8.29313e+02
 67 -0.24455  6.96129e+02 | 68 -1.10744 -1.30710e+02 | 69 -0.75046  2.88366e+02
 70 -0.81250  2.26213e+02 | 71  0.14289 -7.95873e+03 | 72  0.07829 -1.03244e+04
 73  3.42160 -1.89644e+02 | 74 -0.53143 -4.73930e+02 | 75 -0.24775  1.13506e+03
 76 -0.45223 -1.73184e+03 | 77 -0.02835  9.07201e+02 | 78 -0.07378  7.26019e+02
 79 -0.03462  1.53857e+03 | 80 -0.14971  4.05006e+01 | 81 -0.09912  1.87808e+03
